ID,activity,rdMD_26,rdMD_1,rdMD_22,rdMD_61,rdMD_23,rdMD_10,rdMD_101,rdMD_123,rdMD_70,rdMD_24,rdMD_28,rdMD_45,rdMD_71,rdMD_52,rdMD_2,rdMD_30,rdMD_19,rdMD_6,rdMD_217,fcfp4_969
331526,-0.184478,3.421385297,59.93,9.588858788,15.18134214,10.40535537,5,5,2.0485,35.44277805,5.366353417,2.15373408,10.05365156,4.736862954,38.21857455,0.363636364,1.317640023,11.94098568,0,21.047,0
300480727,-0.319593,3.604909865,64.94,9.310747171,10.14064178,9.310747171,4,4,1.8002,16.68539818,5.451347782,2.418215477,10.25676241,12.84164325,11.98427311,0.333333333,1.495479032,10.82515035,0,17.165,0
25646720,-0.626597,5.478231737,60.45,12.05489825,4.983978521,12.87139483,5,5,2.9318,17.68410056,7.447432025,3.919736223,14.79051451,24.05700205,11.29796882,0.375,2.779942182,13.57382893,1,47.672,0
8318595,1.228274,7.389282446,113.91,16.43994139,19.51903521,17.19587033,8,8,3.8152,37.2742854,9.231831236,4.476543745,26.04087173,0.0,22.43924669,0.421052632,2.856311008,20.16192359,0,36.072,0
32136137,0.673599,6.294437267,85.11,15.72781722,14.95648272,15.72781722,8,8,2.0532,67.16946288,8.770807091,4.629812857,23.79664031,4.794537184,39.16912989,0.421052632,3.106998496,18.75193656,2,59.834,0
48752652,-0.25364,3.858976174,64.11,10.47563959,9.967957042,10.47563959,5,5,2.18502,22.98493431,5.534474333,2.525807488,10.05365156,0.0,11.62981856,0.153846154,1.584958234,12.94408163,1,42.095,0
4847598,0.377835,4.864056448,75.09,11.24393949,9.551078169,11.24393949,5,5,2.2705,20.62691085,6.637501208,3.527381986,14.65760556,12.96557803,35.90773555,0.125,2.411956334,13.17643349,0,57.284,0
49176426,-0.097881,3.50707195,30.71,9.550853985,14.76446326,10.36735057,3,3,3.077,21.02023245,5.376668627,2.398820763,0.0,6.544756406,17.00369137,0.333333333,1.677568097,11.2030226,0,26.083,0
49299793,-0.247518,4.033890368,49.17,9.673930042,14.76446326,11.25992658,5,5,2.2502,27.97822719,5.73185805,2.71548332,9.473725908,6.544756406,10.89354114,0.333333333,1.836082426,11.52589269,0,20.149,0
36931863,0.027082,6.094148869,58.22,12.63320902,15.09727335,12.63320902,5,5,2.4942,34.65900702,7.747435144,4.546878366,9.636772685,12.96557803,24.70134685,0.411764706,3.045432518,13.36896311,1,40.944,0
232833340,0.099768,5.602853397,72.92,14.10440614,9.883888252,14.10440614,7,7,2.1532,55.74889867,8.106863459,3.754642471,19.52737747,9.531400138,25.22224695,0.333333333,2.462918266,17.19173579,1,57.036,0
44575095,1.392466,5.326286295,75.94,12.60460632,29.96514012,13.4211029,7,7,1.8437,43.76897884,7.56417357,3.903166031,10.21669833,12.96557803,24.16350358,0.571428571,2.59566201,14.95575785,2,29.368,0
324396,-0.275107,4.527027198,63.59,10.58138312,19.93591408,10.58138312,5,5,2.4089,26.48067049,6.36312804,3.025930472,5.316788604,0.0,36.61664466,0.285714286,1.947141332,11.77152049,0,31.293,0
48439112,-0.148343,5.444356864,62.66,12.48333112,4.983978521,13.23926006,5,5,3.481,35.2532904,7.491696232,3.835876943,14.74330008,0.0,30.95378937,0.294117647,2.626863245,15.6190495,0,50.325,0
32409538,0.339381,3.891578014,59.39,10.03741305,24.73242031,10.03741305,5,5,2.3551,24.73242031,5.868110347,2.825241192,4.983978521,6.544756406,12.1082079,0.153846154,1.968827735,10.70691101,0,26.864,0
49125344,0.307224,8.710242133,62.39,15.56913539,15.09727335,15.56913539,5,5,4.0213,38.39144879,10.44834802,6.844365527,9.523678332,6.544756406,18.0015877,0.9,4.827181814,17.47264464,0,14.669,0
73039342,-0.278075,5.841131658,38.77,12.63821379,4.899909731,12.63821379,4,4,2.0528,49.82121455,7.804951177,4.379380445,14.37363564,22.31536915,31.61854233,0.588235294,3.075949557,14.69665017,0,26.964,0
30026465,-0.007309,7.214451586,67.6,15.98475181,9.883888252,15.98475181,6,6,4.5445,41.78769606,9.59090691,4.904046538,14.47080249,4.794537184,18.15004873,0.333333333,3.608916518,20.21286862,1,92.377,0
48257681,-0.075092,4.420031173,47.67,10.99272779,19.33156291,12.57872433,5,5,2.9804,19.33156291,6.234952437,3.067743707,9.883888252,13.59242839,36.30776578,0.142857143,2.00205444,12.9288547,0,26.908,0
168890455,1.705597,8.970165233,102.48,19.52168663,14.68039447,19.52168663,8,8,4.2226,46.12902315,11.95725236,6.880250587,20.68722877,4.794537184,25.19772071,0.296296296,5.114585954,22.70890442,2,107.376,0
31412633,0.466601,4.693708994,76.22,11.04488871,10.14064178,11.04488871,5,5,3.20484,21.21647446,6.133967142,3.129940558,9.629622332,0.0,11.25737949,0.133333333,2.15117726,12.34924601,0,46.123,0
53833498,0.976895,8.104355858,55.47,16.00022129,19.99718308,16.00022129,6,6,2.12482,71.71765765,9.780743058,5.471891277,9.799819462,4.794537184,58.30048353,0.789473684,3.949634492,18.23765931,1,15.152,0
46651868,0.544462,4.806308234,68.25,11.62782409,19.58203674,11.62782409,6,6,2.59032,19.58203674,6.748480883,3.01705044,14.13463415,12.96557803,18.81450877,0.357142857,2.027527489,12.65307877,0,27.785,0
36265861,0.125108,4.987118602,66.53,11.34089615,14.53505669,11.34089615,5,5,2.14068,21.0798131,7.005336642,3.560209892,9.883888252,19.38639965,38.3248432,0.4,2.537446558,12.67208496,0,32.492,0
136115,0.209398,8.802569162,47.56,18.38680192,5.316788604,18.38680192,4,4,5.1454,31.76966645,10.6171039,6.236357282,14.79051451,15.95222176,24.31614067,0.48,3.873254169,22.28891527,1,128.397,0
48304378,-0.145366,5.404488821,53.08,11.51994469,14.76446326,11.51994469,5,5,2.59302,14.76446326,5.946859243,2.727654474,9.154013891,19.06954442,24.22295752,0.538461538,1.45762618,12.67108664,0,14.696,0
13159362,0.18242,5.357480733,42.43,13.19153325,4.983978521,13.19153325,4,4,3.58502,24.5457122,7.457501743,3.691203369,9.636772685,4.794537184,23.81521047,0.157894737,2.36581997,15.03257942,1,50.381,0
16021876,-0.406805,5.671474164,46.92,13.4988279,9.780484743,13.4988279,4,4,4.04986,15.68766447,7.551012282,3.829707216,5.316788604,0.0,5.687386275,0.157894737,2.441529082,15.03257942,1,66.068,0
73029963,-0.372015,5.020348149,23.47,11.61374257,4.899909731,11.61374257,2,2,3.2282,17.05410911,6.499571518,3.154132015,5.106527395,19.69639478,13.08951281,0.25,2.12862739,15.53717066,0,56.256,0
36256386,0.357543,4.576468986,72.95,11.4840463,14.76446326,11.4840463,6,6,2.48012,20.67164299,6.507066066,3.002266025,9.733939541,6.544756406,24.0235057,0.133333333,1.974330094,13.10974753,1,36.232,0
31362621,-0.333575,6.528961377,81.93,15.30150339,19.74844179,15.30150339,7,7,3.8213,32.76541906,8.643638992,4.309359832,10.05365156,0.0,16.81428926,0.2,2.938572409,16.96004696,1,52.625,0
420214,0.947269,7.194697074,49.74,15.20270347,24.64835152,15.20270347,5,5,3.85742,37.73786433,9.415721531,5.474278836,4.983978521,13.08951281,47.54179413,0.5,3.919538931,16.33501359,0,26.996,0
313512024,1.514946,8.01267054,94.47,18.88837549,9.883888252,19.70487207,6,6,5.1056,42.16667685,10.27686472,4.782751084,21.10410764,6.544756406,34.82167026,0.25,3.291446882,25.25667363,1,114.488,0
38281327,0.078607,3.499443718,59.42,9.036832707,4.983978521,9.036832707,4,4,2.501,16.0598112,5.124867935,2.164140646,9.843390349,11.21535881,12.39368714,0.076923077,1.392327406,11.13515636,0,20.646,0
232868057,0.842301,4.836140849,83.56,12.69958925,20.16532066,13.51608583,6,6,3.14932,32.32826957,6.969438466,3.2073118,5.316788604,0.0,17.44768134,0.125,2.099155068,15.23433988,1,52.86,0
31881571,-0.252231,3.653881289,59.81,9.628204254,14.76446326,9.628204254,5,5,2.0059,20.67164299,5.552619986,2.247817836,5.316788604,4.794537184,18.81450877,0.25,1.450406276,11.31940715,1,21.668,0
35731142,1.226891,5.568933912,67.33,12.7485641,14.4509879,12.7485641,6,6,1.3571,46.15852879,7.756636399,4.172032682,14.62075121,16.07615654,19.69639478,0.5,3.006600222,14.84056716,1,81.624,0
49314549,-0.18864,3.911326069,53.06,9.628204254,9.883888252,9.628204254,4,4,2.17828,16.93156023,5.339729315,2.372882449,4.417150937,13.08951281,18.93844355,0.230769231,1.648238018,11.3679163,0,25.451,0
301928950,0.119241,6.299058456,78.67,13.38913797,10.21669833,13.38913797,6,6,1.4462,48.55615485,7.991369981,4.592066516,15.95036581,0.0,37.78431794,0.5,3.274714955,16.63126415,3,127.991,0
317964046,-0.314483,6.70118182,64.03,15.55633699,20.39472723,16.37283357,6,6,4.37012,39.58820643,9.120041379,4.647688128,9.636772685,6.176298517,25.93115606,0.368421053,3.193925559,19.56141793,0,73.809,0
13331036,-0.197768,5.051423099,41.99,9.332624277,4.983978521,10.14912086,3,3,2.7891,10.89115825,5.235010996,2.450879154,5.316788604,10.20952765,16.71295929,0.636363636,1.228606898,10.61225823,1,25.664,0
